currency,brand,country,reference,year,product_url,image_url,price,collection,name,availability,currency_code,price_USD,price_GBP,price_EUR,price_JPY
$,PANERAI,USA,PAM01350,2025,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01350-radiomir-tre-giorni.html,https://www.panerai.com/content/dam/rcq/pan/mC/bG/Av/li/W0/6q/58/sB/Gm/l_/1w/mCbGAvliW06q58sBGml_1w.png,7100,Radiomir,Radiomir Tre Giorni,Available,USD,7100.0,5637.400000000001,6835.88,1069050.55
$,PANERAI,USA,PAM01347,2025,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01347-radiomir-otto-giorni.html,https://www.panerai.com/content/dam/rcq/pan/sq/bR/W6/SN/-E/CF/th/-B/Zw/5b/tA/sqbRW6SN-ECFth-BZw5btA.png,9700,Radiomir,Radiomir Otto Giorni,Available,USD,9700.0,7701.8,9339.16,1460533.85
$,PANERAI,USA,PAM01348,2025,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01348-radiomir-otto-giorni.html,https://www.panerai.com/content/dam/rcq/pan/4-/XO/xe/EC/K0/KB/TY/Ck/p1/Pc/dA/4-XOxeECK0KBTYCkp1PcdA.png,9700,Radiomir,Radiomir Otto Giorni,Out of Stock,USD,9700.0,7701.8,9339.16,1460533.85
$,PANERAI,USA,PAM01349,2025,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01349-radiomir-california.html,https://www.panerai.com/content/dam/rcq/pan/Or/cO/lA/rx/8k/-r/vp/Xi/gX/X4/Lg/OrcOlArx8k-rvpXigXX4Lg.png,12300,Radiomir,Radiomir California,Available,USD,12300.0,9766.2,11842.44,1852017.1500000001
$,PANERAI,USA,PAM01643,2025,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01643-radiomir-8-giorni-eilean.html,https://www.panerai.com/content/dam/rcq/pan/eg/qU/d0/pZ/R9/Ww/SQ/tm/pW/lK/wg/egqUd0pZR9WwSQtmpWlKwg.png,42500,Radiomir,Radiomir 8 Giorni Eilean,Out of Stock,USD,42500.0,33745.0,40919.0,6399246.25
$,PANERAI,USA,PAM01284,2025,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01284-radiomir-tourbillon-gmt-bronzo.html,https://www.panerai.com/content/dam/rcq/pan/9K/Y5/0m/Wz/80/ix/UJ/aO/96/Jt/RQ/9KY50mWz80ixUJaO96JtRQ.png,147300,Radiomir,Radiomir Tourbillon GMT Bronzo,Out of Stock,USD,147300.0,116956.20000000001,141820.44,22179034.650000002
$,PANERAI,USA,PAM00760,2025,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam00760-radiomir-bronzo.html,https://www.panerai.com/content/dam/rcq/pan/23/44/86/4/2344864.png,18600,Radiomir,Radiomir Bronzo,Out of Stock,USD,18600.0,14768.400000000001,17908.079999999998,2800611.3000000003
$,PANERAI,USA,PAM01026,2025,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01026-radiomir-quaranta-goldtech.html,https://www.panerai.com/content/dam/rcq/pan/Y3/Ss/Mi/Bi/wk/-O/Lv/Y5/uN/5d/Kw/Y3SsMiBiwk-OLvY5uN5dKw.png,18200,Radiomir,Radiomir Quaranta Goldtech™,Available,USD,18200.0,14450.800000000001,17522.96,2740383.1
$,PANERAI,USA,PAM01437,2025,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01437-radiomir-quaranta-yellow-gold.html,https://www.panerai.com/content/dam/rcq/pan/g5/cn/Xo/v8/vE/CP/Dz/ME/gY/Ge/cQ/g5cnXov8vECPDzMEgYGecQ.png,18200,Radiomir,Radiomir Quaranta Yellow Gold,Available,USD,18200.0,14450.800000000001,17522.96,2740383.1
$,PANERAI,USA,PAM01363,2025,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01363-radiomir-annual-calendar-goldtech.html,https://www.panerai.com/content/dam/rcq/pan/0a/Da/kZ/iJ/KE/SO/mC/pE/wx/Oj/6Q/0aDakZiJKESOmCpEwxOj6Q.png,34700,Radiomir,Radiomir Annual Calendar Goldtech™,Out of Stock,USD,34700.0,27551.800000000003,33409.159999999996,5224796.350000001
$,PANERAI,USA,PAM01364,2025,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01364-radiomir-annual-calendar-platinumtech.html,https://www.panerai.com/content/dam/rcq/pan/nN/44/E4/4V/K0/OU/KX/iq/Yn/WM/tw/nN44E44VK0OUKXiqYnWMtw.png,51100,Radiomir,Radiomir Annual Calendar Platinumtech™,Out of Stock,USD,51100.0,40573.4,49199.08,7694152.550000001
$,PANERAI,USA,PAM01453,2025,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam01453-radiomir-perpetual-calendar-gmt-goldtech.html,https://www.panerai.com/content/dam/rcq/pan/My/We/PY/oA/Tp/Oa/kB/sg/ji/dh/iw/MyWePYoATpOakBsgjidhiw.png,43300,Radiomir,Radiomir Perpetual Calendar GMT Goldtech™,Out of Stock,USD,43300.0,34380.200000000004,41689.24,6519702.65
$,PANERAI,USA,PAM00600,2025,https://www.panerai.com/us/en/collections/watch-collection/radiomir/pam00600-radiomir-minute-repeater-tourbillon-gmt.html,https://www.panerai.com/content/dam/rcq/pan/13/14/96/3/1314963.png,398400,Radiomir,Radiomir Minute Repeater Tourbillon GMT,Out of Stock,USD,398400.0,316329.60000000003,383579.52,59987287.2
$,PANERAI,USA,PAM01623,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01623-luminor-base-logo.html,https://www.panerai.com/content/dam/rcq/pan/mc/zJ/or/Ov/Rc/aM/aT/bm/8A/yR/4Q/mczJorOvRcaMaTbm8AyR4Q.png,5600,Luminor,Luminor Base Logo,Available,USD,5600.0,4446.400000000001,5391.68,843194.8
$,PANERAI,USA,PAM01087,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01087-luminor-base-logo.html,https://www.panerai.com/content/dam/rcq/pan/ly/Km/5Y/vf/ZE/Cs/Sd/0o/pV/X4/nA/lyKm5YvfZECsSd0opVX4nA.png,5600,Luminor,Luminor Base Logo,Available,USD,5600.0,4446.400000000001,5391.68,843194.8
$,PANERAI,USA,PAM01086,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01086-luminor-base-logo.html,https://www.panerai.com/content/dam/rcq/pan/eO/-Y/kP/44/So/Ki/ps/Ho/yr/yZ/ow/eO-YkP44SoKipsHoyryZow.png,5600,Luminor,Luminor Base Logo,Available,USD,5600.0,4446.400000000001,5391.68,843194.8
$,PANERAI,USA,PAM01084,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01084-luminor-logo.html,https://www.panerai.com/content/dam/rcq/pan/20/83/65/0/2083650.png,6100,Luminor,Luminor Logo,Available,USD,6100.0,4843.400000000001,5873.08,918480.05
$,PANERAI,USA,PAM01085,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01085-luminor-logo.html,https://www.panerai.com/content/dam/rcq/pan/20/61/23/0/2061230.png,6100,Luminor,Luminor Logo ,Available,USD,6100.0,4843.400000000001,5873.08,918480.05
$,PANERAI,USA,PAM01624,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01624-luminor-logo.html,https://www.panerai.com/content/dam/rcq/pan/RP/Oi/dq/A6/SZ/yy/aM/v3/sX/4-/9w/RPOidqA6SZyyaMv3sX4-9w.png,6100,Luminor,Luminor Logo,Available,USD,6100.0,4843.400000000001,5873.08,918480.05
$,PANERAI,USA,PAM01628,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01628-luminor-tre-giorni.html,https://www.panerai.com/content/dam/rcq/pan/Hk/Ga/VG/Yo/Tk/KS/Jy/rN/sE/Nq/_Q/HkGaVGYoTkKSJyrNsENq_Q.png,10500,Luminor,Luminor Tre Giorni,Out of Stock,USD,10500.0,8337.0,10109.4,1580990.25
$,PANERAI,USA,PAM00914,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam00914-luminor-8-giorni.html,https://www.panerai.com/content/dam/rcq/pan/19/76/97/9/1976979.png,7100,Luminor,Luminor 8 Giorni,Available,USD,7100.0,5637.400000000001,6835.88,1069050.55
$,PANERAI,USA,PAM00915,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam00915-luminor-8-giorni.html,https://www.panerai.com/content/dam/rcq/pan/19/76/97/7/1976977.png,7600,Luminor,Luminor 8 Giorni,Available,USD,7600.0,6034.400000000001,7317.28,1144335.8
$,PANERAI,USA,PAM01655,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01655-luminor-destro-otto-giorni.html,https://www.panerai.com/content/dam/rcq/pan/O8/G5/Gh/c9/Rx/-F/WM/TF/KB/r1/wQ/O8G5Ghc9Rx-FWMTFKBr1wQ.png,8100,Luminor,Luminor Destro Otto Giorni,Available,USD,8100.0,6431.400000000001,7798.68,1219621.05
$,PANERAI,USA,PAM00422,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam00422-luminor-marina.html,https://www.panerai.com/content/dam/rcq/pan/79/27/56/792756.png,11300,Luminor,Luminor Marina,Out of Stock,USD,11300.0,8972.2,10879.64,1701446.6500000001
$,PANERAI,USA,PAM01371,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01371-luminor-quaranta.html,https://www.panerai.com/content/dam/rcq/pan/22/37/63/3/2237633.png,7800,Luminor,Luminor Quaranta,Available,USD,7800.0,6193.200000000001,7509.84,1174449.9000000001
$,PANERAI,USA,PAM01370,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01370-luminor-quaranta.html,https://www.panerai.com/content/dam/rcq/pan/22/37/39/8/2237398.png,7800,Luminor,Luminor Quaranta,Available,USD,7800.0,6193.200000000001,7509.84,1174449.9000000001
$,PANERAI,USA,PAM01372,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01372-luminor-quaranta.html,https://www.panerai.com/content/dam/rcq/pan/22/37/63/4/2237634.png,7800,Luminor,Luminor Quaranta,Available,USD,7800.0,6193.200000000001,7509.84,1174449.9000000001
$,PANERAI,USA,PAM01408,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01408-luminor-quaranta-steel-dlc-luna-rossa.html,https://www.panerai.com/content/dam/rcq/pan/UQ/Ak/CS/b6/7k/6a/A4/va/FF/7t/WQ/UQAkCSb67k6aA4vaFF7tWQ.png,9300,Luminor,Luminor Quaranta Steel DLC Luna Rossa,Out of Stock,USD,9300.0,7384.200000000001,8954.039999999999,1400305.6500000001
$,PANERAI,USA,PAM01526,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01526-luminor-quaranta-carbotech.html,https://www.panerai.com/content/dam/rcq/pan/N4/Nf/LG/Uz/Qr/aO/YK/-9/th/IN/TQ/N4NfLGUzQraOYK-9thINTQ.png,13300,Luminor,Luminor Quaranta Carbotech™,Out of Stock,USD,13300.0,10560.2,12805.24,2002587.6500000001
$,PANERAI,USA,PAM01314,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01314-luminor-marina.html,https://www.panerai.com/content/dam/rcq/pan/20/66/83/2/2066832.png,8800,Luminor,Luminor Marina,Available,USD,8800.0,6987.200000000001,8472.64,1325020.4000000001
$,PANERAI,USA,PAM01313,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01313-luminor-marina.html,https://www.panerai.com/content/dam/rcq/pan/20/50/94/8/2050948.png,8800,Luminor,Luminor Marina,Available,USD,8800.0,6987.200000000001,8472.64,1325020.4000000001
$,PANERAI,USA,PAM01312,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01312-luminor-marina.html,https://www.panerai.com/content/dam/rcq/pan/13/33/02/4/1333024.png,8800,Luminor,Luminor Marina,Available,USD,8800.0,6987.200000000001,8472.64,1325020.4000000001
$,PANERAI,USA,PAM01157,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01157-luminor-marina-blu-profondo.html,https://www.panerai.com/content/dam/rcq/pan/R-/Ap/va/Qh/qU/uK/cE/iQ/Og/Ny/qA/R-ApvaQhqUuKcEiQOgNyqA.png,9400,Luminor,Luminor Marina Blu Profondo,Available,USD,9400.0,7463.6,9050.32,1415362.7000000002
$,PANERAI,USA,PAM01356,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01356-luminor-marina-verde-smeraldo.html,https://www.panerai.com/content/dam/rcq/pan/xs/L0/lh/NQ/Q0/W5/d0/cN/sD/l9/gA/xsL0lhNQQ0W5d0cNsDl9gA.png,9400,Luminor,Luminor Marina Verde Smeraldo,Available,USD,9400.0,7463.6,9050.32,1415362.7000000002
$,PANERAI,USA,PAM01358,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01358-luminor-marina-grigio-roccia.html,https://www.panerai.com/content/dam/rcq/pan/2r/qU/Pf/R3/7U/6K/mv/An/Xj/50/4Q/2rqUPfR37U6KmvAnXj504Q.png,9400,Luminor,Luminor Marina Grigio Roccia,Available,USD,9400.0,7463.6,9050.32,1415362.7000000002
$,PANERAI,USA,PAM01564,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01564-luminor-marina.html,https://www.panerai.com/content/dam/rcq/pan/m0/3l/oJ/Ur/xU/WL/8v/Sx/xI/OT/pg/m03loJUrxUWL8vSxxIOTpg.png,9500,Luminor,Luminor Marina,Out of Stock,USD,9500.0,7543.0,9146.6,1430419.75
$,PANERAI,USA,PAM01316,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01316-luminor-marina.html,https://www.panerai.com/content/dam/rcq/pan/20/67/63/6/2067636.png,9500,Luminor,Luminor Marina,Out of Stock,USD,9500.0,7543.0,9146.6,1430419.75
$,PANERAI,USA,PAM01562,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01562-luminor-marina.html,https://www.panerai.com/content/dam/rcq/pan/ir/1O/R1/R_/r0/mp/KS/la/o1/Xf/zw/ir1OR1R_r0mpKSlao1Xfzw.png,9500,Luminor,Luminor Marina,Out of Stock,USD,9500.0,7543.0,9146.6,1430419.75
$,PANERAI,USA,PAM01412,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01412-luminor-marina-navy-seals.html,https://www.panerai.com/content/dam/rcq/pan/qP/1R/cN/9g/ak/yg/8r/VG/Fa/UT/Iw/qP1RcN9gakyg8rVGFaUTIw.png,9800,Luminor,Luminor Marina Navy SEALs,Available,USD,9800.0,7781.200000000001,9435.44,1475590.9000000001
$,PANERAI,USA,PAM02661,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam02661-luminor-marina-carbotech.html,https://www.panerai.com/content/dam/rcq/pan/EO/eS/-u/5M/rE/m5/DR/uq/SJ/ji/7g/EOeS-u5MrEm5DRuqSJji7g.png,14800,Luminor,Luminor Marina Carbotech™,Available,USD,14800.0,11751.2,14249.44,2228443.4000000004
$,PANERAI,USA,PAM02662,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam02662-luminor-marina-tuttogrigio.html,https://www.panerai.com/content/dam/rcq/pan/yy/cr/9q/UF/8E/i4/Xp/AT/OQ/_Q/Qw/yycr9qUF8Ei4XpATOQ_QQw.png,16300,Luminor,Luminor Marina TuttoGrigio,Out of Stock,USD,16300.0,12942.2,15693.64,2454299.1500000004
$,PANERAI,USA,PAM01112,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01112-luminor-marina-goldtech.html,https://www.panerai.com/content/dam/rcq/pan/20/35/33/2/2035332.png,26800,Luminor,Luminor Marina Goldtech™ ,Available,USD,26800.0,21279.2,25803.04,4035289.4000000004
$,PANERAI,USA,PAM01365,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01365-luminor-quaranta-bitempo.html,https://www.panerai.com/content/dam/rcq/pan/uG/0I/iH/F2/xE/iG/8V/Vk/z4/Lv/Ig/uG0IiHF2xEiG8VVkz4LvIg.png,9200,Luminor,Luminor Quaranta BiTempo,Available,USD,9200.0,7304.8,8857.76,1385248.6
$,PANERAI,USA,PAM01367,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01367-luminor-quaranta-bitempo.html,https://www.panerai.com/content/dam/rcq/pan/CT/n-/6W/SU/ok/CC/Wq/YS/6M/km/gQ/CTn-6WSUokCCWqYS6MkmgQ.png,9200,Luminor,Luminor Quaranta BiTempo,Available,USD,9200.0,7304.8,8857.76,1385248.6
$,PANERAI,USA,PAM01404,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01404-luminor-quaranta-bitempo-luna-rossa.html,https://www.panerai.com/content/dam/rcq/pan/i7/zz/dP/TF/Kk/6Y/YC/D8/K6/wz/xQ/i7zzdPTFKk6YYCD8K6wzxQ.png,9600,Luminor,Luminor Quaranta BiTempo Luna Rossa,Available,USD,9600.0,7622.400000000001,9242.88,1445476.8
$,PANERAI,USA,PAM01640,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01640-luminor-quaranta-bitempo.html,https://www.panerai.com/content/dam/rcq/pan/8G/1V/mN/s5/Tj/2E/r0/-R/p2/Tt/0A/8G1VmNs5Tj2Er0-Rp2Tt0A.png,9800,Luminor,Luminor Quaranta BiTempo,Available,USD,9800.0,7781.200000000001,9435.44,1475590.9000000001
$,PANERAI,USA,PAM01641,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01641-luminor-quaranta-bitempo-goldtech.html,https://www.panerai.com/content/dam/rcq/pan/c1/qc/KI/QE/RB/uk/hB/wg/mT/GE/4g/c1qcKIQERBukhBwgmTGE4g.png,25400,Luminor,Luminor Quaranta BiTempo Goldtech™,Out of Stock,USD,25400.0,20167.600000000002,24455.12,3824490.7
$,PANERAI,USA,PAM01360,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01360-luminor-bitempo-power-reserve.html,https://www.panerai.com/content/dam/rcq/pan/OJ/1e/ma/oI/EU/ex/4m/Es/3I/a1/ow/OJ1emaoIEUex4mEs3Ia1ow.png,10600,Luminor,Luminor BiTempo Power Reserve,Available,USD,10600.0,8416.4,10205.68,1596047.3
$,PANERAI,USA,PAM01361,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01361-luminor-bitempo-power-reserve.html,https://www.panerai.com/content/dam/rcq/pan/aM/zj/RO/N0/6k/Sl/Pw/jL/Cm/ro/kg/aMzjRON06kSlPwjLCmrokg.png,10600,Luminor,Luminor BiTempo Power Reserve,Available,USD,10600.0,8416.4,10205.68,1596047.3
$,PANERAI,USA,PAM01441,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01441-luminor-gmt.html,https://www.panerai.com/content/dam/rcq/pan/17/12/33/1/1712331.png,14900,Luminor,Luminor GMT,Available,USD,14900.0,11830.6,14345.72,2243500.45
$,PANERAI,USA,PAM01674,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01674-luminor-gmt-power-reserve-ceramica.html,https://www.panerai.com/content/dam/rcq/pan/MC/aC/kK/6t/TR/SO/eX/tG/o5/BN/Hg/MCaCkK6tTRSOeXtGo5BNHg.png,19100,Luminor,Luminor GMT Power Reserve Ceramica,Out of Stock,USD,19100.0,15165.400000000001,18389.48,2875896.5500000003
$,PANERAI,USA,PAM01218,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01218-luminor-chrono.html,https://www.panerai.com/content/dam/rcq/pan/21/48/54/1/2148541.png,10000,Luminor,Luminor Chrono,Available,USD,10000.0,7940.0,9628.0,1505705.0
$,PANERAI,USA,PAM01109,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01109-luminor-chrono.html,https://www.panerai.com/content/dam/rcq/pan/21/48/44/8/2148448.png,10000,Luminor,Luminor Chrono,Available,USD,10000.0,7940.0,9628.0,1505705.0
$,PANERAI,USA,PAM01110,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01110-luminor-chrono.html,https://www.panerai.com/content/dam/rcq/pan/21/48/47/5/2148475.png,10800,Luminor,Luminor Chrono,Available,USD,10800.0,8575.2,10398.24,1626161.4000000001
$,PANERAI,USA,PAM01548,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01548-luminor-chrono.html,https://www.panerai.com/content/dam/rcq/pan/KN/yQ/HT/7X/8E/mk/Jn/fc/ZC/aV/Ig/KNyQHT7X8EmkJnfcZCaVIg.png,10800,Luminor,Luminor Chrono,Available,USD,10800.0,8575.2,10398.24,1626161.4000000001
$,PANERAI,USA,PAM01219,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01219-luminor-chrono-carbotech.html,https://www.panerai.com/content/dam/rcq/pan/cd/oK/fQ/Qt/SU/et/Rb/ak/AV/Fk/TA/cdoKfQQtSUetRbakAVFkTA.png,16600,Luminor,Luminor Chrono Carbotech™,Available,USD,16600.0,13180.400000000001,15982.48,2499470.3000000003
$,PANERAI,USA,PAM01111,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01111-luminor-chrono-goldtech.html,https://www.panerai.com/content/dam/rcq/pan/21/48/50/1/2148501.png,29400,Luminor,Luminor Chrono Goldtech™,Available,USD,29400.0,23343.600000000002,28306.32,4426772.7
$,PANERAI,USA,PAM01409,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01409-luminor-chrono-navy-seals.html,https://www.panerai.com/content/dam/rcq/pan/gE/0n/MZ/Ma/9k/Op/N-/8F/mc/nf/DQ/gE0nMZMa9kOpN-8FmcnfDQ.png,11000,Luminor,Luminor Chrono Navy SEALs,Out of Stock,USD,11000.0,8734.0,10590.8,1656275.5
$,PANERAI,USA,PAM01419,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01419-luminor-chrono-carbotech-navy-seals.html,https://www.panerai.com/content/dam/rcq/pan/Sm/IC/8D/Fv/HU/qL/NG/kj/Mg/F8/8g/SmIC8DFvHUqLNGkjMgF88g.png,17900,Luminor,Luminor Chrono Carbotech™ Navy SEALs,Available,USD,17900.0,14212.6,17234.12,2695211.95
$,PANERAI,USA,PAM01482,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01482-luminor-dieci-giorni-gmt.html,https://www.panerai.com/content/dam/rcq/pan/MT/BC/lK/ZB/Tv/GJ/d8/UV/Nx/2S/Bw/MTBClKZBTvGJd8UVNx2SBw.png,15200,Luminor,Luminor Dieci Giorni GMT,Out of Stock,USD,15200.0,12068.800000000001,14634.56,2288671.6
$,PANERAI,USA,PAM01483,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam01483-luminor-dieci-giorni-gmt-ceramica.html,https://www.panerai.com/content/dam/rcq/pan/DZ/dw/-j/Qb/SQ/6U/2X/HX/LA/S_/dg/DZdw-jQbSQ6U2XHXLAS_dg.png,19500,Luminor,Luminor Dieci Giorni GMT Ceramica,Out of Stock,USD,19500.0,15483.0,18774.6,2936124.75
$,PANERAI,USA,PAM00742,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam00742-luminor-perpetual-calendar-gmt-goldtech.html,https://www.panerai.com/content/dam/rcq/pan/21/48/57/9/2148579.png,45100,Luminor,Luminor Perpetual Calendar GMT Goldtech™ ,Out of Stock,USD,45100.0,35809.4,43422.28,6790729.550000001
$,PANERAI,USA,PAM00715,2025,https://www.panerai.com/us/en/collections/watch-collection/luminor/pam00715-luminor-perpetual-calendar-gmt-platinumtech.html,https://www.panerai.com/content/dam/rcq/pan/21/64/65/8/2164658.png,62400,Luminor,Luminor Perpetual Calendar GMT Platinumtech™,Out of Stock,USD,62400.0,49545.600000000006,60078.72,9395599.200000001
